,BU_Level1,BU_Level2,BU_Level3,BU_Level4,yandex_category_id,yandex_category_name
700,Электроника и электротовары,Аксессуары для электроники,Аксессуар к фото и видео,Фотосумка,90616,"Сумки, чехлы для фото- и видеотехники"
701,Электроника и электротовары,Компьютеры и периферия,Периферийное оборудование,Сканер,91112,Сканеры
702,Электроника и электротовары,Бытовая техника,Электронные товары для красоты и здоровья,Весы напольные электронные,90567,Напольные весы
703,Электроника и электротовары,Бытовая техника,Климатическая техника,Тепловентилятор,15003480,Тепловые пушки
704,Электроника и электротовары,Аксессуары для электроники,Аксессуар к TV и аудио технике,"Кронштейн, подставка для TV и аудиотехники",90629,Кронштейны и стойки
705,Электроника и электротовары,Аксессуары для электроники,Аксессуар к TV и аудио технике,TV антенна,10510546,Антенны
706,Электроника и электротовары,Аксессуары для электроники,Аксессуар к TV и аудио технике,Универсальный пульт для электроники,90627,Пульты ДУ
707,Электроника и электротовары,Бытовая техника,Климатическая техника,"Воздухоочиститель, мойка воздуха",734595,Очистители и увлажнители воздуха
708,Электроника и электротовары,Бытовая техника,Климатическая техника,Обогреватель,90577,Обогреватели
709,Электроника и электротовары,Аксессуары для электроники,Аксессуар к фото и видео,Штатив,90619,Штативы и моноподы
710,Электроника и электротовары,Портативная аудиотехника,Портативная акустика,Портативная акустическая система,2724669,Портативная акустика
711,Электроника и электротовары,Компьютеры и периферия,Периферийное оборудование,Источник бесперебойного питания,91082,Источники бесперебойного питания
712,Электроника и электротовары,Аксессуары для электроники,Электропитание,Зарядное устройство автомобильное,91503,Зарядные устройства и адаптеры
713,Электроника и электротовары,Аксессуары для электроники,Аксессуар к фото и видео,Фотопленка,90618,Фотоматериалы и химикаты
714,Электроника и электротовары,Аксессуары для электроники,Аксессуар к фото и видео,Аккумулятор для фото-видео,91156,Аккумуляторы и зарядные устройства
715,Электроника и электротовары,Аксессуары для электроники,Аксессуар к фото и видео,Пульт для фото,90627,Пульты ДУ
716,Электроника и электротовары,Компьютеры и периферия,Периферийное оборудование,Графический планшет,91113,Графические планшеты
717,Электроника и электротовары,Компьютеры и периферия,Периферийное оборудование,Внешний привод ODD,91035,Оптические приводы
718,Электроника и электротовары,Компьютеры и периферия,Периферийное оборудование,Монитор,91052,Мониторы
719,Электроника и электротовары,Компьютеры и периферия,Компьютерные комплектующие,SSD диск,16309373,Внутренние твердотельные накопители (SSD)
720,Электроника и электротовары,Компьютеры и периферия,Периферийное оборудование,Принтер,138608,Принтеры и МФУ
721,Электроника и электротовары,Домашняя Аудио и Видеотехника,Акустическая система,Домашний кинотеатр,90636,Домашние кинотеатры
722,Электроника и электротовары,Домашняя Аудио и Видеотехника,Музыкальные инструменты,Синтезатор,91248,Синтезаторы и MIDI-клавиатуры
723,Электроника и электротовары,Домашняя Аудио и Видеотехника,Музыкальные инструменты,Электрогитара,91244,Электрогитары и бас-гитары
724,Электроника и электротовары,Домашняя Аудио и Видеотехника,Музыкальные инструменты,Аксессуар для музыкального инструмента,91249,Аксессуары
725,Электроника и электротовары,Аксессуары для электроники,Аксессуар к фото и видео,Крепление для фото/видео устройств,278370,Аксессуары для экшн-камер
726,Электроника и электротовары,Аксессуары для электроники,Электропитание,Зарядное устройство для аккумуляторов,6856242,Зарядные устройства для аккумуляторов
727,Электроника и электротовары,Аксессуары для электроники,Электропитание,Внешний аккумулятор,8353924,Универсальные внешние аккумуляторы
728,Электроника и электротовары,Бытовая техника,Климатическая техника,Водонагреватель,90575,Водонагреватели
729,Электроника и электротовары,Домашняя Аудио и Видеотехника,Музыкальные инструменты,Студийная звуковая карта PRO,91027,Звуковые карты
730,Электроника и электротовары,Компьютеры и периферия,Периферийное оборудование,Пластик для 3D печати,15293531,Расходные материалы для 3D печати
731,Электроника и электротовары,Компьютеры и периферия,Периферийное оборудование,МФУ,138608,Принтеры и МФУ
732,Электроника и электротовары,Компьютеры и периферия,Компьютерные комплектующие,Модуль памяти,191211,Модули памяти
733,Электроника и электротовары,Аксессуары для электроники,Аксессуар к фото и видео,"Чистящий карандаш для оптики, мониторов",91078,Чистящие принадлежности
734,Электроника и электротовары,Аксессуары для электроники,Электропитание,Батареи для ИБП,91082,Источники бесперебойного питания
735,Электроника и электротовары,Компьютеры и периферия,Компьютерные комплектующие,Звуковая карта для ПК,91027,Звуковые карты
736,Электроника и электротовары,Аксессуары для электроники,Аксессуар к TV и аудио технике,"Сумка, кейс для CD",91076,Сумки и рюкзаки
737,Электроника и электротовары,Компьютеры и периферия,Компьютерные комплектующие,Корпус для HDD,6374360,Корпуса и док-станции для жестких дисков
738,Электроника и электротовары,Домашняя Аудио и Видеотехника,Акустическая система,Сабвуфер,308016,Автоакустика
739,Электроника и электротовары,Компьютеры и периферия,Компьютерные комплектующие,Видеокарта,91031,Видеокарты
740,Электроника и электротовары,Компьютеры и периферия,Компьютерные комплектующие,Жесткий диск,91033,Внутренние жесткие диски
741,Электроника и электротовары,Аксессуары для электроники,Аксессуар к фото и видео,Сумка для цифровой аппаратуры,90616,"Сумки, чехлы для фото- и видеотехники"
742,Электроника и электротовары,Аксессуары для электроники,Аксессуар к фото и видео,Фоторюкзак,90616,"Сумки, чехлы для фото- и видеотехники"
743,Электроника и электротовары,Аксессуары для электроники,Аксессуар к фото и видео,Фотовспышка,1009492,Аксессуары для фотовспышек
744,Электроника и электротовары,Компьютеры и периферия,Компьютерные комплектующие,Материнская плата,91020,Материнские платы
745,Электроника и электротовары,Аксессуары для электроники,Аксессуар к фото и видео,Светофильтр,994004,Светофильтры
746,Электроника и электротовары,Компьютеры и периферия,Периферийное оборудование,Микрофон компьютерный,90551,Микрофоны
747,Электроника и электротовары,Аксессуары для электроники,Электропитание,Аккумулятор для мобильного телефона,91499,Аккумуляторы
748,Электроника и электротовары,Компьютеры и периферия,Компьютерные комплектующие,Компьютерный корпус,91028,Корпуса
749,Электроника и электротовары,Компьютеры и периферия,Компьютерные комплектующие,Система охлаждения,818965,Кулеры и системы охлаждения
750,Электроника и электротовары,Компьютеры и периферия,Компьютерные комплектующие,Блок питания,857707,Блоки питания
751,Электроника и электротовары,Домашняя Аудио и Видеотехника,Музыкальные инструменты,Студийная акустика,90548,Акустические системы
752,Электроника и электротовары,Домашняя Аудио и Видеотехника,Музыкальные инструменты,Духовые музыкальные инструменты,16674811,Этнические духовые инструменты
753,Электроника и электротовары,Компьютеры и периферия,Компьютерные комплектующие,Процессор,91019,Процессоры (CPU)
754,Электроника и электротовары,Компьютеры и периферия,Периферийное оборудование,3D принтер,9283442,3D-принтеры
755,Электроника и электротовары,Домашняя Аудио и Видеотехника,Музыкальные инструменты,Электро/электронный музыкальный инструмент,10682670,Детские музыкальные инструменты
756,Электроника и электротовары,Компьютеры и периферия,Периферийное оборудование,3D ручка,16611586,3D-ручки
757,Электроника и электротовары,Бытовая техника,Электронные товары для красоты и здоровья,Электробигуди,90573,Электробигуди
758,Электроника и электротовары,Домашняя Аудио и Видеотехника,Музыкальные инструменты,Струнные музыкальные инструменты,10682670,Детские музыкальные инструменты
759,Электроника и электротовары,Домашняя Аудио и Видеотехника,Музыкальные инструменты,Ударные музыкальные инструменты,10682670,Детские музыкальные инструменты
760,Электроника и электротовары,Аксессуары для электроники,Аксессуар к фото и видео,Фото-штативная голова,8442711,Аксессуары для штативов и моноподов
761,Электроника и электротовары,Домашняя Аудио и Видеотехника,Музыкальные инструменты,Клавишные инструменты,91248,Синтезаторы и MIDI-клавиатуры
762,Электроника и электротовары,Домашняя Аудио и Видеотехника,Акустическая система,Саундбар,542020,Комплекты акустики
763,Электроника и электротовары,Аксессуары для электроники,Аксессуар к фото и видео,Держатель для светофильтра,17677674,Стойки и крепежи
764,Электроника и электротовары,Компьютеры и периферия,Компьютерные комплектующие,Карта видеозахвата,17444162,Видеозахват
765,Электроника и электротовары,Аксессуары для электроники,Аксессуар к фото и видео,Батарейный блок для фото,91156,Аккумуляторы и зарядные устройства
766,Электроника и электротовары,Аксессуары для электроники,Аксессуар к фото и видео,Студийный свет для фото,17677661,Осветительное оборудование
767,Электроника и электротовары,Домашняя Аудио и Видеотехника,Акустическая система,Акустическая система с док-станцией,2724669,Портативная акустика
768,Электроника и электротовары,Домашняя Аудио и Видеотехника,Музыкальные инструменты,Гитарный усилитель,10484476,Гитарное усиление
769,Электроника и электротовары,Аксессуары для электроники,Аксессуар к фото и видео,Ремень для фото,7812175,Ремни и пояса
770,Электроника и электротовары,Бытовая техника,Климатическая техника,Мобильный кондиционер,90578,Кондиционеры
771,Электроника и электротовары,Аксессуары для электроники,Аксессуар к фото и видео,Рассеиватель для фото/видео,1009492,Аксессуары для фотовспышек
772,Электроника и электротовары,Аксессуары для электроники,Аксессуар к TV и аудио технике,Чехол для портативной акустики,17438933,Аксессуары для гитар
773,Электроника и электротовары,Аксессуары для электроники,Аксессуар к фото и видео,Подсветка для фото/видео,4951525,Интерьерная подсветка
774,Электроника и электротовары,Домашняя Аудио и Видеотехника,Музыкальные инструменты,"DJ-пульт, проигрыватель",5048602,Микшерные пульты
775,Электроника и электротовары,Компьютеры и периферия,Компьютерные комплектующие,Внешняя звуковая карта,91027,Звуковые карты
776,Электроника и электротовары,Бытовая техника,Климатическая техника,Стационарный кондиционер,90578,Кондиционеры
777,Электроника и электротовары,Аксессуары для электроники,Аксессуар к TV и аудио технике,Экран для проектора,191213,Экраны
778,Электроника и электротовары,Компьютеры и периферия,Периферийное оборудование,Копировальный аппарат,138608,Принтеры и МФУ
779,Электроника и электротовары,Портативная аудиотехника,Портативная акустика,Беспроводные наушники,90555,Наушники и Bluetooth-гарнитуры
780,Электроника и электротовары,Компьютеры и периферия,Периферийное оборудование,Графический планшет-монитор,91113,Графические планшеты
781,Электроника и электротовары,Аксессуары для электроники,Аксессуар к фото и видео,Аквабокс,278370,Аксессуары для экшн-камер
782,Электроника и электротовары,Аксессуары для электроники,Электропитание,Преобразователь напряжения,13373756,Автомобильные инверторы
783,Электроника и электротовары,Аксессуары для электроники,Аксессуар к фото и видео,Фон для фото/видео,17677706,Фоны
784,Электроника и электротовары,Компьютеры и периферия,Периферийное оборудование,TV тюнер,91105,TV-тюнеры
785,Электроника и электротовары,Аксессуары для электроники,Аксессуар к фото и видео,Крышка для объектива,91153,Насадки и крышки на объективы
786,Электроника и электротовары,Бытовая техника,Климатическая техника,Охладитель воздуха,14454382,Канальные нагреватели и охладители
787,Электроника и электротовары,Компьютеры и периферия,Компьютерные комплектующие,Микрокомпьютер,7076558,Радиодетали и электронные компоненты
788,Электроника и электротовары,Бытовая техника,Климатическая техника,Вытяжной вентилятор,15724921,Вентиляторы вытяжные
789,Электроника и электротовары,Домашняя Аудио и Видеотехника,Музыкальные инструменты,Спецэффект для электрогитары,10484476,Гитарное усиление
790,Электроника и электротовары,Аксессуары для электроники,Аксессуар к фото и видео,Кейс для фото,90616,"Сумки, чехлы для фото- и видеотехники"
791,Электроника и электротовары,Аксессуары для электроники,Аксессуар к фото и видео,Фотоадаптер кольцо,984940,Адаптеры и переходные кольца
792,Электроника и электротовары,Аксессуары для электроники,Аксессуар к TV и аудио технике,3D очки для телевизора,10972670,Очки виртуальной реальности
793,Электроника и электротовары,Аксессуары для электроники,Аксессуар к фото и видео,Кнопка спуска затвора для фото,984941,Дистанционное управление
794,Электроника и электротовары,Аксессуары для электроники,Аксессуар к фото и видео,Фото отражатель,17677695,Отражатели и рассеиватели
795,Электроника и электротовары,Компьютеры и периферия,Периферийное оборудование,Устройство аудиомонтажа,,
796,Электроника и электротовары,Компьютеры и периферия,Периферийное оборудование,Принтер для наклеек,930336,"Принтеры чеков, этикеток, штрих-кода"
